,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,watsa,3.04,29.54,64.17,59.0,22.0,2.66,CD,1609120008.0
2,umm kaddadah,13.6,26.69,63.14,27.0,3.0,13.11,SD,1609120010.0
3,butaritari,3.07,172.79,81.64,79.0,100.0,21.36,KI,1609120011.0
4,coronel,-37.02,-73.13,57.2,93.0,20.0,6.93,CL,1609120012.0
5,ushuaia,-54.8,-68.3,57.2,35.0,20.0,19.46,AR,1609119906.0
6,rikitea,-23.12,-134.97,78.66,78.0,73.0,15.28,PF,1609120014.0
7,new norfolk,-42.78,147.06,64.99,37.0,90.0,3.0,AU,1609120016.0
8,esperance,-33.87,121.9,64.4,45.0,0.0,11.41,AU,1609120017.0
10,puerto ayora,-0.74,-90.35,73.0,91.0,100.0,1.99,EC,1609120018.0
11,atuona,-9.8,-139.03,79.02,74.0,0.0,16.11,PF,1609120019.0
12,khorramshahr,30.44,48.17,51.8,66.0,75.0,9.17,IR,1609120020.0
13,hilo,19.73,-155.09,78.8,65.0,75.0,5.82,US,1609119822.0
14,bambous virieux,-20.34,57.76,77.0,88.0,40.0,11.41,MU,1609120023.0
15,saint george,37.1,-113.58,46.4,68.0,90.0,4.7,US,1609119789.0
16,arraial do cabo,-22.97,-42.03,77.0,83.0,0.0,14.99,BR,1609120025.0
17,lasa,46.62,10.7,28.99,57.0,75.0,8.05,IT,1609120027.0
18,airai,-8.93,125.41,72.73,74.0,100.0,2.3,TL,1609120028.0
19,domoni,-12.26,44.53,79.34,81.0,100.0,9.44,KM,1609120029.0
20,berlevag,70.86,29.09,25.3,90.0,100.0,26.75,NO,1609120030.0
21,qaanaaq,77.48,-69.36,-1.43,71.0,86.0,7.27,GL,1609120031.0
22,bluff,-46.6,168.33,68.0,55.0,0.0,8.01,NZ,1609120033.0
23,ilulissat,69.22,-51.1,30.2,63.0,95.0,3.36,GL,1609120034.0
24,clyde river,70.47,-68.59,-9.4,83.0,100.0,29.97,CA,1609120035.0
25,saskylakh,71.92,114.08,-15.11,86.0,96.0,19.77,RU,1609120036.0
26,mataura,-46.19,168.86,68.0,55.0,0.0,8.01,NZ,1609120037.0
27,port alfred,-33.59,26.89,66.0,88.0,1.0,1.99,ZA,1609120038.0
28,sur,22.57,59.53,66.63,47.0,18.0,12.57,OM,1609120040.0
29,vila velha,-20.33,-40.29,77.0,83.0,0.0,8.05,BR,1609120037.0
30,jamestown,42.1,-79.24,33.01,80.0,1.0,16.06,US,1609120012.0
32,awjilah,29.11,21.29,51.84,56.0,0.0,7.38,LY,1609120043.0
33,richards bay,-28.78,32.04,73.38,81.0,57.0,10.22,ZA,1609120045.0
34,canico,32.63,-16.85,60.8,67.0,20.0,11.41,PT,1609120046.0
35,bilibino,68.05,166.44,-22.63,78.0,0.0,0.58,RU,1609120047.0
36,namibe,-15.2,12.15,71.02,74.0,99.0,3.18,AO,1609120048.0
37,sistranda,63.73,8.83,42.8,56.0,0.0,27.51,NO,1609120049.0
38,lewiston,44.1,-70.21,28.0,79.0,1.0,3.13,US,1609120050.0
39,deputatskiy,69.3,139.9,-16.22,89.0,100.0,7.07,RU,1609120052.0
40,cockburn town,21.46,-71.14,78.4,71.0,35.0,8.66,TC,1609120053.0
41,san cristobal,7.77,-72.22,64.13,89.0,68.0,2.86,VE,1609120054.0
42,busselton,-33.65,115.33,69.01,48.0,0.0,5.99,AU,1609120055.0
43,havre-saint-pierre,50.23,-63.6,15.8,72.0,75.0,8.05,CA,1609120057.0
44,bredasdorp,-34.53,20.04,60.8,77.0,28.0,3.36,ZA,1609120058.0
45,huancavelica,-12.77,-74.98,40.05,93.0,100.0,5.12,PE,1609120059.0
46,malinovskiy,61.2,62.84,-7.42,91.0,100.0,8.05,RU,1609120060.0
47,punta arenas,-53.15,-70.92,51.8,57.0,0.0,9.17,CL,1609119859.0
48,hobart,-42.88,147.33,64.99,47.0,40.0,12.75,AU,1609119972.0
49,ust-uda,54.17,103.03,-24.34,83.0,100.0,3.31,RU,1609120064.0
50,sao filipe,14.9,-24.5,74.91,76.0,100.0,4.21,CV,1609120065.0
51,cape town,-33.93,18.42,63.0,72.0,0.0,11.41,ZA,1609120062.0
52,chokwe,-24.53,32.98,77.14,81.0,3.0,4.36,MZ,1609120067.0
53,avera,33.19,-82.53,41.0,65.0,1.0,4.7,US,1609120069.0
54,upernavik,72.79,-56.15,19.13,80.0,94.0,8.77,GL,1609120070.0
55,nemours,48.28,2.69,41.0,100.0,90.0,10.29,FR,1609120071.0
56,kapaa,22.08,-159.32,78.8,74.0,75.0,17.22,US,1609120072.0
57,villa maria,-32.41,-63.24,78.01,60.0,92.0,1.01,AR,1609120073.0
58,naze,28.37,129.48,69.8,68.0,75.0,17.22,JP,1609120075.0
59,talnakh,69.49,88.4,-36.4,73.0,0.0,6.71,RU,1609120076.0
60,padang,-0.95,100.35,84.52,58.0,100.0,1.25,ID,1609120077.0
61,ust-maya,60.42,134.53,-37.75,81.0,100.0,1.99,RU,1609120078.0
62,quatre cocos,-20.21,57.76,77.0,88.0,40.0,11.41,MU,1609120079.0
63,barrow,71.29,-156.79,-2.2,77.0,90.0,9.17,US,1609120074.0
64,tucupita,9.06,-62.05,71.87,96.0,56.0,3.65,VE,1609120082.0
65,yellowknife,62.46,-114.35,3.2,84.0,75.0,11.41,CA,1609120069.0
66,erzin,36.96,36.2,42.8,46.0,0.0,3.36,TR,1609120084.0
67,victoria,22.29,114.16,72.0,58.0,14.0,3.0,HK,1609120036.0
68,torbay,47.67,-52.73,37.99,93.0,90.0,9.17,CA,1609120086.0
69,tasiilaq,65.61,-37.64,26.6,53.0,100.0,2.24,GL,1609120087.0
70,chokurdakh,70.63,147.92,-31.86,83.0,23.0,4.63,RU,1609120089.0
71,tuktoyaktuk,69.45,-133.04,-4.0,83.0,90.0,6.93,CA,1609120090.0
72,soure,-0.72,-48.52,81.37,78.0,100.0,14.9,BR,1609119991.0
73,challapata,-18.9,-66.77,52.21,60.0,98.0,9.55,BO,1609120092.0
74,grand-bourg,15.88,-61.31,75.2,88.0,17.0,2.24,GP,1609120093.0
75,sao joao da barra,-21.64,-41.05,75.72,87.0,100.0,15.79,BR,1609120094.0
77,tilichiki,60.47,166.1,-3.44,91.0,100.0,12.62,RU,1609120096.0
79,revda,56.8,59.93,19.4,92.0,75.0,4.47,RU,1609120097.0
80,dolores,-36.31,-57.68,72.07,77.0,99.0,17.34,AR,1609120098.0
82,klaksvik,62.23,-6.59,37.4,88.0,100.0,29.97,FO,1609120099.0
83,balaipungut,1.05,101.28,75.2,88.0,40.0,1.19,ID,1609120100.0
84,nador,35.17,-2.93,57.2,54.0,0.0,6.93,MA,1609120102.0
85,mar del plata,-38.0,-57.56,69.8,88.0,90.0,13.87,AR,1609120059.0
86,muros,42.78,-9.06,46.99,81.0,93.0,5.01,ES,1609120104.0
87,nikolskoye,59.7,30.79,28.4,79.0,90.0,11.18,RU,1609120105.0
89,baghmara,23.8,86.21,58.59,40.0,0.0,2.64,IN,1609120106.0
91,souillac,-20.52,57.52,77.0,88.0,40.0,11.41,MU,1609120108.0
93,kenai,60.55,-151.26,35.6,80.0,90.0,13.87,US,1609120109.0
96,mahebourg,-20.41,57.7,77.0,88.0,40.0,11.41,MU,1609120110.0
97,marsh harbour,26.54,-77.06,68.68,75.0,6.0,22.46,BS,1609120111.0
